key1_id	key2_wkr_id	fraction	residents	error	method
2	2	0.997564	224217.1	0.002331	point
19	24	0.978340	232859.3	0.021046	point
7	7	0.993270	309671.2	0.006457	point
21	26	0.995380	229130.5	0.004595	point
19	26	0.000521	123.9	0.000000	point
21	24	0.004004	921.6	0.000016	point
19	25	0.021140	5031.6	0.000329	point
20	25	0.997432	306181.9	0.002477	point
20	24	0.002230	684.5	0.000006	point
27	32	0.979529	316626.4	0.019916	point
27	25	0.014886	4811.8	0.000223	point
22	27	0.992514	296767.1	0.007404	point
22	25	0.001251	374.0	0.000001	point
27	27	0.001591	514.4	0.000003	point
22	32	0.001099	328.5	0.000001	point
20	26	0.000091	27.8	0.000000	point
23	28	0.990534	295891.2	0.009316	point
22	26	0.000007	2.2	0.000000	point
21	28	0.000037	8.6	0.000000	point
22	28	0.005129	1533.7	0.000026	point
21	27	0.000579	133.2	0.000000	point
23	27	0.001326	396.1	0.000002	point
23	32	0.001631	487.1	0.000002	point
27	28	0.000262	84.8	0.000000	point
28	33	0.985599	216996.2	0.012437	point
27	33	0.000187	60.3	0.000000	point
32	38	0.992694	258599.1	0.007133	point
32	32	0.005097	1327.7	0.000021	point
27	38	0.003327	1075.3	0.000014	point
26	31	0.999135	319670.4	0.000863	point
32	31	0.000216	56.3	0.000000	point
27	31	0.000218	70.6	0.000000	point
20	32	0.000072	22.2	0.000000	point
20	31	0.000175	53.7	0.000000	point
26	25	0.000750	240.0	0.000001	point
55	88	0.989637	257860.8	0.010256	point
53	86	0.994265	260644.4	0.005693	point
54	87	0.995899	312183.3	0.004060	point
53	87	0.005735	1503.3	0.000027	point
54	86	0.001197	375.3	0.000002	point
54	89	0.002886	904.7	0.000009	point
56	89	0.999897	272674.6	0.000103	point
55	87	0.001116	290.7	0.000001	point
54	88	0.000017	5.4	0.000000	point
56	87	0.000039	10.7	0.000000	point
55	110	0.002634	686.2	0.000006	point
80	110	0.982998	291644.9	0.016574	point
81	111	0.994486	312903.0	0.005468	point
96	125	0.679653	237822.3	0.197884	point
