key1_id	key2_wkr_id	fraction	residents	error	method
2	2	0.999456	233783.1	0.000543	point
25	24	0.999656	234491.2	0.000344	point
7	7	0.994230	318513.3	0.005701	point
27	26	0.999890	229242.6	0.000110	point
25	26	0.000344	80.8	0.000000	point
27	24	0.000110	25.2	0.000000	point
26	25	0.999755	316601.1	0.000245	point
26	24	0.000072	22.8	0.000000	point
33	32	0.998778	318459.3	0.001219	point
33	25	0.000130	41.4	0.000000	point
26	32	0.000095	30.1	0.000000	point
28	27	0.998875	296540.0	0.001119	point
28	25	0.000020	6.0	0.000000	point
33	27	0.000835	266.2	0.000001	point
26	26	0.000068	21.6	0.000000	point
29	28	0.994446	297582.2	0.005519	point
28	26	0.000195	57.9	0.000000	point
28	28	0.000576	170.9	0.000000	point
29	27	0.003357	1004.6	0.000011	point
28	32	0.000334	99.3	0.000000	point
33	28	0.000145	46.2	0.000000	point
34	33	0.990757	247317.6	0.009146	point
39	38	0.998109	262319.2	0.001883	point
39	32	0.000769	202.2	0.000000	point
33	38	0.000112	35.8	0.000000	point
32	31	0.999629	319909.7	0.000371	point
32	38	0.000024	7.7	0.000000	point
32	25	0.000243	77.8	0.000000	point
26	31	0.000010	3.1	0.000000	point
90	88	0.999549	258309.3	0.000451	point
88	86	0.999240	261120.5	0.000760	point
89	87	0.999930	314070.1	0.000070	point
89	86	0.000015	4.6	0.000000	point
91	89	0.999866	274960.7	0.000134	point
88	87	0.000760	198.7	0.000000	point
89	88	0.000029	9.0	0.000000	point
112	110	0.998756	293686.7	0.001241	point
90	110	0.000139	36.0	0.000000	point
113	111	0.998732	313574.5	0.001265	point
112	111	0.000364	107.1	0.000000	point
127	125	0.999740	261421.0	0.000260	point
114	112	0.996780	257178.8	0.003202	point
113	125	0.000106	33.4	0.000000	point
114	111	0.000784	202.2	0.000001	point
113	112	0.001113	349.3	0.000002	point
114	125	0.000400	103.3	0.000000	point
118	116	0.994885	273370.8	0.004987	point
114	116	0.001873	483.2	0.000003	point
118	112	0.000052	14.4	0.000000	point
117	116	0.015476	3401.5	0.000186	point
117	115	0.981944	215827.2	0.014911	point
125	123	0.999815	276504.4	0.000185	point
127	123	0.000119	31.0	0.000000	point
128	126	0.998250	249285.8	0.001745	point
128	125	0.000066	16.5	0.000000	point
127	126	0.000130	33.9	0.000000	point
126	124	0.991119	265420.9	0.008738	point
126	125	0.000569	152.5	0.000000	point
127	124	0.000012	3.2	0.000000	point
126	112	0.000066	17.8	0.000000	point
114	124	0.000040	10.4	0.000000	point
118	124	0.003390	931.6	0.000012	point
124	122	0.992588	259859.6	0.007241	point
126	122	0.008040	2153.2	0.000065	point
120	124	0.001138	290.5	0.000001	point
124	124	0.002568	672.4	0.000006	point
123	121	0.998607	249911.6	0.001385	point
124	121	0.003133	820.3	0.000010	point
123	122	0.000002	0.5	0.000000	point
126	121	0.000098	26.3	0.000000	point
123	124	0.000039	9.8	0.000000	point
122	121	0.000997	215.7	0.000001	point
122	120	0.997850	215991.6	0.002132	point
123	120	0.000984	246.2	0.000001	point
142	140	0.945333	238583.4	0.051209	point
124	140	0.000258	67.5	0.000000	point
142	121	0.000009	2.2	0.000000	point
142	120	0.001328	335.2	0.000002	point
122	140	0.000007	1.6	0.000000	point
123	126	0.000368	92.0	0.000000	point
128	123	0.000360	90.0	0.000000	point
125	31	0.000082	22.8	0.000000	point
125	125	0.000016	4.3	0.000000	point
129	127	0.996663	249090.2	0.003314	point
32	127	0.000057	18.3	0.000000	point
32	123	0.000047	14.9	0.000000	point
129	123	0.000113	28.3	0.000000	point
125	127	0.000087	24.1	0.000000	point
128	127	0.000137	34.3	0.000000	point
131	129	0.999026	278405.4	0.000972	point
131	127	0.000110	30.6	0.000000	point
129	38	0.000225	56.3	0.000000	point
40	39	0.996243	256414.1	0.003732	point
129	39	0.002991	747.5	0.000009	point
40	38	0.000948	244.1	0.000001	point
135	33	0.000477	127.8	0.000000	point
135	133	0.998706	267653.1	0.001290	point
135	38	0.000009	2.4	0.000000	point
39	133	0.000487	127.9	0.000000	point
39	39	0.000229	60.1	0.000000	point
132	130	0.998598	320945.7	0.001399	point
132	38	0.000412	132.5	0.000000	point
133	130	0.000382	130.0	0.000000	point
133	131	0.997697	339920.2	0.002291	point
133	38	0.000109	37.2	0.000000	point
132	131	0.000715	229.8	0.000000	point
39	130	0.000034	9.0	0.000000	point
131	38	0.000177	49.2	0.000000	point
40	127	0.002809	723.0	0.000008	point
39	127	0.000055	14.5	0.000000	point
131	130	0.000453	126.3	0.000000	point
132	129	0.000013	4.2	0.000000	point
147	145	0.998812	297371.3	0.001187	point
147	129	0.000189	56.3	0.000000	point
147	130	0.000107	31.9	0.000000	point
132	145	0.000025	8.1	0.000000	point
131	145	0.000040	11.1	0.000000	point
146	144	0.998962	318468.7	0.001032	point
147	144	0.000233	69.3	0.000000	point
146	129	0.000145	46.1	0.000000	point
146	145	0.000013	4.0	0.000000	point
145	143	0.996584	251053.0	0.003394	point
145	144	0.002864	721.4	0.000006	point
144	143	0.002246	575.3	0.000005	point
