key1_id	key2_wkr_id	fraction	residents	error	method
2	2	0.999710	233677.5	0.000290	point
25	24	0.999158	234156.1	0.000841	point
7	7	0.993669	319259.3	0.006265	point
27	26	0.999341	228808.2	0.000658	point
25	26	0.000817	191.4	0.000001	point
27	24	0.000381	87.2	0.000000	point
25	25	0.000025	5.9	0.000000	point
26	25	0.999680	316216.8	0.000320	point
26	24	0.000144	45.5	0.000000	point
33	32	0.997083	318488.2	0.002905	point
33	25	0.000500	159.7	0.000000	point
26	32	0.000052	16.5	0.000000	point
28	27	0.998514	297462.0	0.001482	point
26	27	0.000021	6.7	0.000000	point
33	27	0.000176	56.2	0.000000	point
28	32	0.000585	174.3	0.000000	point
27	25	0.000125	28.7	0.000000	point
29	28	0.993586	297539.6	0.006366	point
28	26	0.000111	33.2	0.000000	point
29	27	0.000838	250.9	0.000001	point
28	28	0.000790	235.2	0.000001	point
27	27	0.000153	35.0	0.000000	point
29	32	0.000121	36.1	0.000000	point
33	28	0.000075	24.0	0.000000	point
34	33	0.997131	246533.8	0.002848	point
33	33	0.000009	3.0	0.000000	point
33	38	0.002147	685.7	0.000006	point
38	38	0.989116	261467.0	0.010706	point
38	32	0.000291	76.8	0.000000	point
32	31	0.999465	319824.6	0.000535	point
33	31	0.000009	3.0	0.000000	point
32	25	0.000149	47.6	0.000000	point
26	31	0.000103	32.6	0.000000	point
90	88	0.998618	257537.5	0.001377	point
88	86	0.998771	260490.9	0.001226	point
89	87	0.997655	312715.9	0.002335	point
89	86	0.000819	256.6	0.000001	point
88	87	0.001229	320.5	0.000001	point
91	89	0.997820	274862.3	0.002174	point
89	88	0.001519	476.1	0.000003	point
90	89	0.000405	104.5	0.000000	point
112	110	0.997171	292790.5	0.002808	point
112	88	0.000007	2.1	0.000000	point
90	110	0.000054	13.9	0.000000	point
113	111	0.998261	312247.9	0.001732	point
112	111	0.000163	47.8	0.000000	point
113	110	0.000140	43.8	0.000000	point
127	125	0.998970	261315.7	0.001029	point
114	112	0.987961	256651.9	0.011838	point
127	111	0.000045	11.7	0.000000	point
113	125	0.000045	14.2	0.000000	point
114	111	0.002618	680.1	0.000006	point
113	112	0.001390	434.9	0.000002	point
114	125	0.000188	48.8	0.000000	point
114	116	0.008187	2126.9	0.000062	point
118	116	0.978236	272249.3	0.020778	point
117	115	0.966118	219438.7	0.027990	point
117	116	0.008581	1949.1	0.000059	point
118	115	0.007122	1982.1	0.000055	point
118	112	0.000011	3.2	0.000000	point
127	112	0.000355	92.8	0.000000	point
125	123	0.999553	276476.9	0.000446	point
127	123	0.000233	60.9	0.000000	point
128	126	0.998822	249080.0	0.001174	point
125	126	0.000296	81.8	0.000000	point
125	125	0.000025	7.0	0.000000	point
128	125	0.000040	10.0	0.000000	point
127	126	0.000349	91.2	0.000000	point
126	124	0.992181	259447.3	0.007528	point
126	125	0.000171	44.7	0.000000	point
126	112	0.000010	2.7	0.000000	point
127	124	0.000049	12.9	0.000000	point
114	124	0.000260	67.5	0.000000	point
118	124	0.005013	1395.2	0.000026	point
126	116	0.001898	496.2	0.000003	point
124	122	0.952039	255272.9	0.044148	point
126	122	0.004825	1261.8	0.000023	point
124	124	0.023487	6297.6	0.000540	point
124	121	0.016767	4495.7	0.000295	point
123	122	0.008057	2001.5	0.000061	point
123	121	0.990652	246105.9	0.009081	point
126	121	0.000877	229.4	0.000001	point
123	124	0.000018	4.4	0.000000	point
122	120	0.994878	215379.6	0.005051	point
142	140	0.931993	236057.5	0.062142	point
122	121	0.000632	136.9	0.000000	point
123	120	0.001138	282.8	0.000001	point
142	121	0.000017	4.2	0.000000	point
142	120	0.002483	628.8	0.000007	point
122	140	0.003739	809.5	0.000013	point
123	126	0.000136	33.7	0.000000	point
128	121	0.000016	4.0	0.000000	point
128	123	0.000117	29.1	0.000000	point
125	31	0.000033	9.2	0.000000	point
32	127	0.000323	103.3	0.000000	point
129	127	0.998901	249116.8	0.001094	point
129	123	0.000158	39.4	0.000000	point
32	123	0.000047	14.9	0.000000	point
128	127	0.000181	45.2	0.000000	point
129	126	0.000073	18.2	0.000000	point
125	127	0.000093	25.6	0.000000	point
129	129	0.000036	9.0	0.000000	point
131	129	0.998708	278309.8	0.001289	point
131	127	0.000098	27.4	0.000000	point
129	38	0.000303	75.6	0.000000	point
38	127	0.000171	45.2	0.000000	point
32	38	0.000017	5.4	0.000000	point
38	39	0.008277	2187.9	0.000070	point
39	39	0.996331	254905.9	0.003623	point
39	127	0.002133	545.6	0.000005	point
39	38	0.001537	393.2	0.000002	point
34	133	0.001327	328.2	0.000002	point
135	133	0.997640	267386.0	0.002347	point
135	38	0.000130	34.9	0.000000	point
132	130	0.996195	320631.3	0.003783	point
132	38	0.000339	109.1	0.000000	point
38	130	0.000266	70.4	0.000000	point
132	131	0.002889	929.7	0.000008	point
133	131	0.997739	334533.7	0.002213	point
133	38	0.000084	28.3	0.000000	point
133	130	0.000947	317.4	0.000001	point
131	38	0.000095	26.4	0.000000	point
129	39	0.000513	127.9	0.000000	point
38	129	0.000026	7.0	0.000000	point
132	129	0.000441	141.9	0.000000	point
131	130	0.000450	125.4	0.000000	point
147	145	0.999106	297358.1	0.000893	point
131	145	0.000092	25.5	0.000000	point
147	129	0.000252	75.0	0.000000	point
132	145	0.000033	10.5	0.000000	point
147	130	0.000163	48.6	0.000000	point
147	144	0.000233	69.2	0.000000	point
146	144	0.994066	319070.4	0.005881	point
146	145	0.000016	5.1	0.000000	point
131	144	0.000157	43.8	0.000000	point
145	143	0.980160	251136.7	0.019390	point
146	143	0.000978	313.8	0.000001	point
145	144	0.001368	350.6	0.000001	point
144	142	0.968948	246234.6	0.024137	point
144	143	0.001523	387.0	0.000002	point
145	142	0.018332	4697.0	0.000275	point
146	126	0.000210	67.5	0.000000	point
128	144	0.000394	98.3	0.000000	point
128	129	0.000061	15.3	0.000000	point
131	126	0.000067	18.7	0.000000	point
130	128	0.999287	303394.0	0.000712	point
131	128	0.000333	92.8	0.000000	point
130	129	0.000125	38.0	0.000000	point
129	128	0.000016	4.0	0.000000	point
130	127	0.000135	41.0	0.000000	point
130	126	0.000453	137.6	0.000000	point
128	128	0.000368	91.8	0.000000	point
146	142	0.004659	1495.4	0.000023	point
144	144	0.001223	310.9	0.000001	point
143	142	0.158429	54495.1	0.023671	point
143	141	0.824859	283728.9	0.140845	point
146	141	0.000062	19.8	0.000000	point
146	120	0.000009	3.0	0.000000	point
122	144	0.000463	100.3	0.000000	point
122	141	0.000287	62.2	0.000000	point
143	120	0.002917	1003.3	0.000013	point
140	138	0.980422	212928.6	0.018730	point
143	138	0.006055	2082.6	0.000057	point
143	140	0.007742	2662.9	0.000085	point
142	138	0.000343	86.8	0.000000	point
142	141	0.000095	24.1	0.000000	point
140	140	0.001532	332.8	0.000002	point
140	141	0.000002	0.4	0.000000	point
139	137	0.994522	282846.3	0.005400	point
140	142	0.000107	23.2	0.000000	point
144	141	0.028295	7190.6	0.000679	point
144	138	0.000011	2.7	0.000000	point
145	137	0.000140	35.8	0.000000	point
151	137	0.002586	694.2	0.000006	point
151	149	0.995698	267342.0	0.004283	point
139	149	0.000062	17.5	0.000000	point
150	148	0.998822	273496.4	0.001174	point
139	138	0.003084	877.2	0.000012	point
140	137	0.005160	1120.6	0.000020	point
100	98	0.996630	271453.0	0.003351	point
100	137	0.000293	79.9	0.000000	point
139	148	0.000059	16.7	0.000000	point
150	98	0.000798	218.5	0.000001	point
100	148	0.000108	29.3	0.000000	point
150	137	0.000075	20.4	0.000000	point
151	148	0.001525	409.5	0.000002	point
150	149	0.000065	17.9	0.000000	point
151	143	0.000093	25.0	0.000000	point
151	145	0.000017	4.5	0.000000	point
147	143	0.000013	4.0	0.000000	point
148	146	0.999552	259485.4	0.000447	point
147	146	0.000136	40.4	0.000000	point
151	146	0.000082	22.0	0.000000	point
148	149	0.000023	6.0	0.000000	point
148	148	0.000015	4.0	0.000000	point
149	147	0.998061	272701.6	0.001931	point
148	147	0.000012	3.2	0.000000	point
150	147	0.000011	3.0	0.000000	point
150	146	0.000229	62.8	0.000000	point
149	148	0.000127	34.8	0.000000	point
199	196	0.996864	315510.3	0.003108	point
