key1_id	key2_wkr_id	fraction	residents	error	method
1	2	0.985914	165267.3	0.009779	point
23	24	0.926728	220137.8	0.063704	point
12	7	0.849272	315068.5	0.125804	point
25	26	0.987992	174726.4	0.009035	point
24	26	0.255518	54721.1	0.045368	point
24	24	0.067767	14512.9	0.003907	point
23	25	0.073272	17405.3	0.003731	point
24	25	0.676611	144901.4	0.100088	point
31	32	0.967139	309348.3	0.030839	point
31	25	0.021354	6830.3	0.000451	point
24	32	0.000104	22.3	0.000000	point
30	32	0.004873	1650.8	0.000025	point
30	27	0.871090	295089.1	0.111266	point
30	25	0.000128	43.4	0.000000	point
31	27	0.000910	291.2	0.000001	point
29	28	0.969483	244945.1	0.024331	point
25	28	0.000049	8.6	0.000000	point
30	28	0.123909	41975.1	0.015299	point
25	27	0.011960	2115.1	0.000084	point
29	27	0.001248	315.4	0.000001	point
31	28	0.000221	70.8	0.000000	point
29	32	0.004004	1011.7	0.000013	point
45	33	0.527951	93700.1	0.094298	point
31	33	0.000154	49.1	0.000000	point
27	38	0.361386	105747.8	0.092823	point
31	38	0.009787	3130.5	0.000115	point
27	32	0.016965	4964.4	0.000260	point
27	31	0.587547	171926.6	0.130170	point
31	31	0.000434	138.9	0.000000	point
27	25	0.033603	9832.7	0.001008	point
26	25	0.479089	137766.2	0.108534	point
26	32	0.006240	1794.4	0.000035	point
26	31	0.514670	147997.8	0.115498	point
62	88	0.618676	257540.4	0.234906	point
61	86	0.404871	130797.0	0.120617	point
60	86	1.000000	130490.1	0.000000	point
63	87	0.165460	52907.5	0.023228	point
61	87	0.595129	192261.1	0.147291	point
62	87	0.166589	69347.2	0.030612	point
62	89	0.184892	76966.2	0.042184	point
83	88	0.000019	5.7	0.000000	point
83	110	0.818785	240547.7	0.121353	point
62	110	0.028815	11994.9	0.001141	point
85	111	0.982144	247484.1	0.013808	point
85	110	0.007316	1843.4	0.000046	point
86	111	0.166650	53144.7	0.023482	point
94	125	0.663363	239929.0	0.204699	point
94	112	0.021997	7956.1	0.000664	point
94	111	0.000049	17.9	0.000000	point
86	125	0.004001	1276.0	0.000019	point
86	112	0.416107	132696.7	0.125032	point
85	112	0.010540	2655.9	0.000107	point
84	112	0.294674	112297.5	0.090516	point
84	111	0.035863	13667.0	0.001503	point
86	116	0.225604	71945.2	0.045057	point
84	116	0.000336	128.1	0.000000	point
86	115	0.168724	53806.2	0.029407	point
87	116	0.756797	206657.8	0.136350	point
100	112	0.005294	2249.0	0.000046	point
98	125	0.048583	16906.6	0.002986	point
94	123	0.307622	111262.7	0.085654	point
94	126	0.006622	2395.1	0.000063	point
98	126	0.538745	187480.8	0.186707	point
94	124	0.000274	99.2	0.000000	point
100	125	0.008556	3634.7	0.000118	point
100	124	0.255232	108423.8	0.077085	point
86	124	0.018915	6031.9	0.000419	point
100	116	0.000544	231.3	0.000000	point
87	124	0.024564	6707.8	0.000601	point
102	124	0.736442	146106.7	0.106065	point
100	122	0.021181	8997.7	0.000707	point
102	122	0.165850	32903.9	0.017241	point
99	122	0.965264	199805.2	0.025374	point
99	121	0.008814	1824.4	0.000064	point
100	121	0.585968	248922.6	0.240624	point
94	121	0.000072	25.9	0.000000	point
100	120	0.112714	47881.6	0.022037	point
111	122	0.111491	17991.3	0.006750	point
99	140	0.011625	2406.3	0.000115	point
111	140	0.430891	69533.0	0.070819	point
111	121	0.000063	10.2	0.000000	point
112	120	0.424969	67785.6	0.076231	point
