key1_id	key2_wkr_id	fraction	residents	error	method
2	2	0.999944	234694.5	0.000056	point
24	24	0.999980	234630.8	0.000020	point
7	7	0.997762	319498.8	0.002225	point
26	26	0.999902	229435.2	0.000098	point
26	24	0.000037	8.6	0.000000	point
24	26	0.000014	3.3	0.000000	point
25	25	0.999848	316755.2	0.000152	point
24	25	0.000006	1.5	0.000000	point
25	24	0.000032	10.0	0.000000	point
32	32	0.999493	318612.1	0.000506	point
32	25	0.000044	14.0	0.000000	point
25	32	0.000067	21.2	0.000000	point
27	27	0.999534	297626.8	0.000465	point
32	27	0.000062	19.8	0.000000	point
25	26	0.000022	6.9	0.000000	point
26	25	0.000021	4.8	0.000000	point
28	28	0.999046	297802.4	0.000953	point
28	27	0.000520	155.0	0.000000	point
27	28	0.000065	19.5	0.000000	point
26	27	0.000040	9.2	0.000000	point
27	26	0.000007	2.1	0.000000	point
27	32	0.000393	117.1	0.000000	point
28	32	0.000124	36.9	0.000000	point
33	33	0.999008	246962.0	0.000988	point
38	38	0.999267	262275.6	0.000731	point
32	38	0.000401	127.7	0.000000	point
31	31	0.999903	320056.1	0.000097	point
25	31	0.000032	10.1	0.000000	point
31	25	0.000012	3.8	0.000000	point
89	88	0.999954	258645.2	0.000046	point
87	86	1.000000	261154.2	0.000000	point
88	87	0.999570	314503.8	0.000429	point
88	86	0.000422	132.9	0.000000	point
90	89	1.000000	274966.8	0.000000	point
89	87	0.000046	12.0	0.000000	point
111	110	0.999663	294007.3	0.000337	point
111	88	0.000007	2.1	0.000000	point
112	111	0.999579	313969.7	0.000421	point
126	125	0.999799	261658.7	0.000201	point
113	112	0.998384	257692.3	0.001612	point
126	112	0.000052	13.7	0.000000	point
126	111	0.000036	9.4	0.000000	point
112	125	0.000034	10.6	0.000000	point
113	111	0.000751	193.8	0.000000	point
112	112	0.000324	101.8	0.000000	point
117	116	0.995272	276708.2	0.004668	point
113	116	0.000430	110.9	0.000000	point
117	112	0.000015	4.2	0.000000	point
116	115	0.992608	255489.5	0.007305	point
116	116	0.004954	1275.2	0.000023	point
117	115	0.002047	569.1	0.000005	point
113	125	0.000052	13.3	0.000000	point
124	123	0.999929	276615.5	0.000071	point
126	123	0.000029	7.5	0.000000	point
127	126	0.999653	249460.3	0.000346	point
127	125	0.000016	4.0	0.000000	point
126	126	0.000019	5.0	0.000000	point
125	124	0.993087	266457.9	0.006842	point
125	125	0.000023	6.3	0.000000	point
125	112	0.000059	15.8	0.000000	point
117	124	0.000565	157.0	0.000000	point
113	124	0.000043	11.2	0.000000	point
123	122	0.994262	262150.8	0.005664	point
125	122	0.004126	1107.1	0.000017	point
123	124	0.002743	723.2	0.000007	point
122	121	0.999686	250814.0	0.000313	point
123	121	0.000483	127.4	0.000000	point
122	122	0.000008	2.1	0.000000	point
125	121	0.000054	14.5	0.000000	point
122	124	0.000012	3.0	0.000000	point
126	124	0.000065	17.1	0.000000	point
121	121	0.000093	20.2	0.000000	point
121	120	0.998072	217151.2	0.001923	point
122	120	0.000276	69.2	0.000000	point
