key1_id	key2_wkr_id	fraction	residents	error	method
3	2	0.985586	225627.7	0.013656	point
20	24	0.466867	134090.3	0.142234	point
9	7	0.853682	310433.4	0.120952	point
21	26	0.614673	182924.2	0.188826	point
21	24	0.337909	100560.4	0.095879	point
20	26	0.000021	6.0	0.000000	point
21	25	0.047418	14111.3	0.002012	point
20	25	0.532432	152921.3	0.120177	point
27	32	0.844353	305927.9	0.126118	point
20	32	0.000364	104.5	0.000000	point
27	25	0.015758	5709.3	0.000280	point
22	32	0.012670	4502.7	0.000177	point
22	27	0.836615	297316.3	0.136464	point
22	25	0.000036	12.9	0.000000	point
20	27	0.000316	90.7	0.000000	point
27	27	0.000022	7.9	0.000000	point
22	26	0.130894	46517.3	0.023063	point
23	28	0.966315	195897.6	0.021409	point
22	28	0.019784	7031.0	0.000458	point
23	27	0.001953	395.9	0.000003	point
27	28	0.116909	42358.7	0.014683	point
23	32	0.008882	1800.7	0.000050	point
34	33	0.361161	94193.1	0.087759	point
27	33	0.000250	90.6	0.000000	point
27	38	0.021979	7963.6	0.000651	point
32	38	0.352107	100996.9	0.087631	point
32	32	0.016499	4732.5	0.000241	point
32	31	0.597863	171488.8	0.128814	point
27	31	0.000729	264.3	0.000001	point
32	25	0.032257	9252.4	0.000912	point
26	25	0.473207	134772.1	0.106056	point
26	32	0.006052	1723.6	0.000033	point
26	31	0.520741	148310.2	0.115642	point
55	88	0.587371	255859.3	0.239754	point
54	86	0.523800	191497.8	0.182810	point
53	86	1.000000	69789.3	0.000000	point
56	87	0.158760	49350.3	0.020956	point
54	87	0.476200	174095.3	0.138070	point
55	87	0.209068	91070.2	0.047881	point
55	89	0.182700	79584.4	0.043218	point
81	88	0.002726	852.4	0.000009	point
81	110	0.783529	244968.3	0.141270	point
55	110	0.020523	8939.9	0.000611	point
83	111	0.825043	247267.5	0.113557	point
83	110	0.014541	4357.9	0.000212	point
84	111	0.165645	54690.2	0.024048	point
92	125	0.661960	241549.8	0.206503	point
92	112	0.023768	8673.1	0.000780	point
92	111	0.000148	54.0	0.000000	point
84	125	0.001587	524.0	0.000003	point
84	112	0.401575	132585.9	0.123566	point
83	112	0.160417	48077.3	0.025112	point
82	112	0.194452	65688.6	0.039904	point
84	116	0.234211	77328.1	0.049717	point
84	115	0.191900	63358.5	0.038286	point
85	116	0.726573	199302.9	0.141935	point
99	112	0.009209	2830.3	0.000100	point
96	125	0.048134	16940.4	0.002965	point
92	123	0.304672	111175.2	0.085127	point
92	126	0.008423	3073.7	0.000103	point
96	126	0.375900	132296.3	0.124381	point
92	124	0.000957	349.3	0.000001	point
99	125	0.008889	2732.1	0.000092	point
99	124	0.417132	128207.3	0.116586	point
84	124	0.005082	1678.0	0.000032	point
99	116	0.006574	2020.6	0.000047	point
85	124	0.005269	1445.3	0.000028	point
101	124	0.671516	133783.2	0.110372	point
99	122	0.053147	16335.0	0.003113	point
101	122	0.150753	30033.8	0.014564	point
97	122	0.931058	109213.2	0.026552	point
97	124	0.016251	1906.3	0.000114	point
98	122	0.936764	89162.0	0.020005	point
99	121	0.468076	143865.2	0.142721	point
92	121	0.000071	25.9	0.000000	point
100	121	0.390628	106618.9	0.101122	point
99	120	0.036789	11307.2	0.001844	point
98	140	0.039421	3752.1	0.000590	point
100	120	0.544013	148484.1	0.169507	point
98	121	0.000151	14.4	0.000000	point
110	140	0.396374	65653.0	0.065242	point
99	140	0.000185	56.9	0.000000	point
111	140	0.582757	96513.6	0.097468	point
100	140	0.020291	5538.3	0.000457	point
111	120	0.347028	57473.3	0.059934	point
109	121	0.001062	386.8	0.000002	point
109	126	0.220840	80452.4	0.055478	point
100	126	0.000140	38.2	0.000000	point
93	126	0.098913	33596.6	0.012000	point
96	121	0.000184	64.9	0.000000	point
96	123	0.470014	165419.2	0.148936	point
96	31	0.000018	6.2	0.000000	point
93	127	0.626394	212759.1	0.199203	point
32	127	0.000069	19.9	0.000000	point
93	31	0.000009	2.9	0.000000	point
93	123	0.000177	60.2	0.000000	point
32	123	0.000052	14.9	0.000000	point
96	127	0.105516	37135.9	0.014023	point
93	129	0.092257	31335.7	0.009419	point
94	127	0.000034	10.4	0.000000	point
94	129	0.760144	232409.8	0.152099	point
93	38	0.000049	16.5	0.000000	point
32	39	0.001153	330.8	0.000001	point
33	39	0.783139	256474.4	0.169339	point
34	39	0.000065	16.9	0.000000	point
34	38	0.317681	82853.2	0.068306	point
108	33	0.000110	35.1	0.000000	point
108	133	0.838889	268008.4	0.135090	point
34	133	0.000362	94.3	0.000000	point
33	38	0.216729	70977.6	0.045827	point
103	130	0.386422	150853.2	0.111318	point
103	38	0.000129	50.5	0.000000	point
34	130	0.000035	9.2	0.000000	point
103	131	0.568545	221951.2	0.159703	point
34	131	0.000016	4.2	0.000000	point
33	130	0.000040	13.2	0.000000	point
93	39	0.001176	399.6	0.000002	point
33	127	0.000076	24.8	0.000000	point
33	129	0.000016	5.2	0.000000	point
106	129	0.007955	3211.6	0.000091	point
94	130	0.090935	27803.0	0.007153	point
103	129	0.000273	106.4	0.000000	point
106	130	0.353283	142628.2	0.101420	point
94	145	0.064546	19734.6	0.004006	point
106	145	0.000729	294.2	0.000001	point
120	145	0.606831	111227.9	0.089215	point
122	145	0.556630	155466.9	0.128988	point
123	145	0.029435	7420.2	0.000713	point
123	144	0.132779	33471.9	0.012043	point
94	144	0.084341	25786.7	0.006222	point
109	144	0.689045	251020.2	0.168052	point
123	143	0.779989	196625.5	0.133968	point
123	142	0.021959	5535.5	0.000387	point
116	142	0.616898	132983.0	0.102391	point
116	143	0.009630	2076.0	0.000079	point
109	143	0.018842	6864.0	0.000504	point
109	129	0.031188	11361.7	0.001232	point
93	128	0.181025	61486.5	0.030027	point
95	128	0.999021	242014.0	0.000779	point
95	129	0.000684	165.6	0.000000	point
95	126	0.000295	71.5	0.000000	point
96	128	0.000233	82.1	0.000000	point
100	144	0.035776	9764.7	0.001052	point
109	142	0.038934	14183.6	0.001729	point
115	142	0.259595	56063.5	0.035106	point
115	141	0.733345	158376.9	0.106419	point
100	141	0.009152	2498.1	0.000078	point
109	120	0.000090	32.9	0.000000	point
111	141	0.063988	10597.4	0.002181	point
114	141	0.234366	34286.2	0.021140	point
118	138	0.618778	87116.0	0.094177	point
115	138	0.001188	256.6	0.000001	point
118	141	0.033805	4759.3	0.000534	point
115	140	0.005872	1268.2	0.000031	point
118	140	0.347417	48911.8	0.046057	point
112	138	0.443896	104447.0	0.118160	point
114	138	0.021666	3169.6	0.000308	point
